ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,AGE_index,GENDER_index,RACE_index,VEHICLE_OWNERSHIP_index,CHILDREN_index,VEHICLE_TYPE_index,MARRIED_index,INCOME_index,VEHICLE_YEAR_index,POSTAL_CODE_index,prediction,AGE_OHE_array_string,GENDER_OHE_array_string,RACE_OHE_array_string,VEHICLE_OWNERSHIP_OHE_array_string,CHILDREN_OHE_array_string,VEHICLE_TYPE_OHE_array_string,MARRIED_OHE_array_string,INCOME_OHE_array_string,VEHICLE_YEAR_OHE_array_string,POSTAL_CODE_OHE_array_string,features_array_string,rawPrediction_array_string,probability_array_string
3643,16-25,male,majority,1,1,poverty,0.32776027637038035,no,before 2015,no,no,10238,16000.0,sedan,0,0,0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,"0.0,0.0,1.0",0.0,1.0,0.0,0.0,1.0,0.0,"0.0,0.0,1.0",1.0,"1.0,0.0,0.0","0.32776027637038035,16000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0","3.2773808855477284,16.72261911445227","0.1638690442773864,0.8361309557226135"
4427,65+,female,majority,4,2,upper class,0.7656372962624367,yes,before 2015,yes,yes,32765,6000.0,sedan,6,0,1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"0.0,0.0,0.0",1.0,1.0,1.0,1.0,1.0,1.0,"1.0,0.0,0.0",1.0,"0.0,1.0,0.0","0.7656372962624367,6000.0,6.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0","17.955352228540182,2.044647771459818","0.8977676114270091,0.10223238857299091"
4617,26-39,male,majority,2,2,upper class,0.6976300010187892,yes,after 2015,yes,no,32765,12000.0,sports car,3,1,2,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,"1.0,0.0,0.0",0.0,1.0,1.0,0.0,0.0,1.0,"1.0,0.0,0.0",0.0,"0.0,1.0,0.0","0.6976300010187892,12000.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0","17.180624184065284,2.819375815934718","0.8590312092032641,0.1409687907967359"
4953,40-64,male,majority,1,0,upper class,0.6877309573983202,yes,after 2015,no,no,10238,14000.0,sedan,0,0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,"0.0,1.0,0.0",0.0,1.0,1.0,0.0,1.0,0.0,"1.0,0.0,0.0",0.0,"1.0,0.0,0.0","0.6877309573983202,14000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0","15.286053658996893,4.713946341003106","0.7643026829498447,0.23569731705015529"
5195,40-64,female,majority,1,2,upper class,0.5640824695825345,yes,after 2015,yes,yes,32765,6000.0,sports car,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,"0.0,1.0,0.0",1.0,1.0,1.0,1.0,0.0,1.0,"1.0,0.0,0.0",0.0,"0.0,1.0,0.0","0.5640824695825345,6000.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0","15.472744803608638,4.527255196391361","0.7736372401804319,0.22636275981956805"
5949,16-25,female,majority,1,1,middle class,0.5087644219573085,no,before 2015,no,yes,10238,11000.0,sedan,0,0,0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,"0.0,0.0,1.0",1.0,1.0,0.0,1.0,1.0,0.0,"0.0,1.0,0.0",1.0,"1.0,0.0,0.0","0.5087644219573085,11000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0","5.365470851354717,14.634529148645285","0.26827354256773583,0.7317264574322643"
6676,40-64,female,majority,3,1,upper class,0.5586591735288894,no,before 2015,no,yes,10238,15000.0,sedan,3,0,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"0.0,1.0,0.0",1.0,1.0,0.0,1.0,1.0,0.0,"1.0,0.0,0.0",1.0,"1.0,0.0,0.0","0.5586591735288894,15000.0,3.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0","17.827395919853917,2.1726040801460846","0.8913697959926958,0.10863020400730423"
7229,16-25,female,majority,1,1,poverty,0.3409595112027546,yes,before 2015,no,no,32765,11000.0,sedan,0,0,0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,"0.0,0.0,1.0",1.0,1.0,1.0,0.0,1.0,0.0,"0.0,0.0,1.0",1.0,"0.0,1.0,0.0","0.3409595112027546,11000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0","7.071602981230045,12.928397018769957","0.35358014906150226,0.6464198509384979"
8055,16-25,female,majority,1,0,middle class,0.6859296356917879,yes,after 2015,yes,no,10238,13000.0,sedan,0,0,0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,"0.0,0.0,1.0",1.0,1.0,1.0,0.0,1.0,1.0,"0.0,1.0,0.0",0.0,"1.0,0.0,0.0","0.6859296356917879,13000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0","13.03413629486644,6.965863705133559","0.651706814743322,0.34829318525667796"
8309,16-25,male,majority,1,1,middle class,0.5193228045087914,yes,after 2015,no,yes,92101,11697.003206900365,sedan,0,0,0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,"0.0,0.0,1.0",0.0,1.0,1.0,1.0,1.0,0.0,"0.0,1.0,0.0",0.0,"0.0,0.0,1.0","0.5193228045087914,11697.003206900365,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0","12.345840300596617,7.65415969940338","0.617292015029831,0.38270798497016906"
8464,65+,male,majority,2,2,upper class,0.5158128096027909,yes,after 2015,yes,yes,10238,11697.003206900365,sedan,3,0,2,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"0.0,0.0,0.0",0.0,1.0,1.0,1.0,1.0,1.0,"1.0,0.0,0.0",0.0,"1.0,0.0,0.0","0.5158128096027909,11697.003206900365,3.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0","18.438262992246624,1.5617370077533768","0.9219131496123312,0.07808685038766884"
8539,40-64,male,majority,2,1,upper class,0.5037900206930748,yes,before 2015,yes,yes,10238,12000.0,sedan,0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0,1.0,0.0",0.0,1.0,1.0,1.0,1.0,1.0,"1.0,0.0,0.0",1.0,"1.0,0.0,0.0","0.5037900206930748,12000.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0","18.135137884258572,1.8648621157414293","0.9067568942129286,0.09324310578707147"
9128,40-64,female,majority,3,1,middle class,0.4743480011240882,no,after 2015,yes,yes,10238,9000.0,sedan,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"0.0,1.0,0.0",1.0,1.0,0.0,1.0,1.0,1.0,"0.0,1.0,0.0",0.0,"1.0,0.0,0.0","0.4743480011240882,9000.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0","18.156386523911742,1.8436134760882612","0.9078193261955869,0.09218067380441304"
10147,26-39,male,majority,2,1,middle class,0.5559535570676705,yes,after 2015,yes,yes,10238,11000.0,sedan,2,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"1.0,0.0,0.0",0.0,1.0,1.0,1.0,1.0,1.0,"0.0,1.0,0.0",0.0,"1.0,0.0,0.0","0.5559535570676705,11000.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0","17.628594524922512,2.371405475077487","0.8814297262461256,0.11857027375387434"
10693,40-64,female,majority,3,0,working class,0.3753440227515216,yes,before 2015,yes,yes,21217,9000.0,sedan,4,0,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,"0.0,1.0,0.0",1.0,1.0,1.0,1.0,1.0,1.0,"0.0,0.0,0.0",1.0,"0.0,0.0,0.0","0.3753440227515216,9000.0,4.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0","17.526152539999046,2.473847460000951","0.8763076269999525,0.12369237300004757"
11165,16-25,female,majority,1,0,poverty,0.4133565343754057,yes,before 2015,no,yes,32765,6000.0,sedan,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,"0.0,0.0,1.0",1.0,1.0,1.0,1.0,1.0,0.0,"0.0,0.0,1.0",1.0,"0.0,1.0,0.0","0.4133565343754057,6000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0","7.8011296144947675,12.198870385505236","0.3900564807247383,0.6099435192752617"
12406,26-39,male,majority,1,1,middle class,0.4983124241159539,no,before 2015,yes,yes,10238,10000.0,sedan,0,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"1.0,0.0,0.0",0.0,1.0,0.0,1.0,1.0,1.0,"0.0,1.0,0.0",1.0,"1.0,0.0,0.0","0.4983124241159539,10000.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0","6.063615907606292,13.936384092393707","0.3031807953803146,0.6968192046196854"
12632,65+,male,majority,2,2,upper class,0.6221249967775025,yes,before 2015,yes,yes,92101,7000.0,sedan,4,0,0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"0.0,0.0,0.0",0.0,1.0,1.0,1.0,1.0,1.0,"1.0,0.0,0.0",1.0,"0.0,0.0,1.0","0.6221249967775025,7000.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0","17.034544501054402,2.9654554989456","0.8517272250527201,0.14827277494728"
13112,16-25,female,majority,1,0,poverty,0.226734278562446,no,before 2015,no,no,10238,9000.0,sedan,0,0,0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,"0.0,0.0,1.0",1.0,1.0,0.0,0.0,1.0,0.0,"0.0,0.0,1.0",1.0,"1.0,0.0,0.0","0.226734278562446,9000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0","3.632744279770303,16.367255720229696","0.18163721398851515,0.8183627860114848"
14090,26-39,male,majority,2,2,working class,0.5158128096027909,no,before 2015,no,yes,32765,6000.0,sedan,6,1,2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,"1.0,0.0,0.0",0.0,1.0,0.0,1.0,1.0,0.0,"0.0,0.0,0.0",1.0,"0.0,1.0,0.0","0.5158128096027909,6000.0,6.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0","14.093909720202504,5.906090279797498","0.7046954860101252,0.2953045139898749"
15598,40-64,male,minority,2,2,upper class,0.5282637198754951,yes,after 2015,no,yes,32765,10000.0,sedan,3,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,"0.0,1.0,0.0",0.0,0.0,1.0,1.0,1.0,0.0,"1.0,0.0,0.0",0.0,"0.0,1.0,0.0","0.5282637198754951,10000.0,3.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0","17.788131722913427,2.211868277086573","0.8894065861456714,0.11059341385432866"
15695,40-64,male,majority,1,1,working class,0.3921684468808021,no,before 2015,yes,yes,32765,7000.0,sedan,0,0,0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,"0.0,1.0,0.0",0.0,1.0,0.0,1.0,1.0,1.0,"0.0,0.0,0.0",1.0,"0.0,1.0,0.0","0.3921684468808021,7000.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0","6.771468685064945,13.228531314935054","0.33857343425324726,0.6614265657467527"
16414,26-39,female,majority,2,0,poverty,0.4890164051337181,yes,before 2015,yes,yes,10238,12000.0,sedan,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,"1.0,0.0,0.0",1.0,1.0,1.0,1.0,1.0,1.0,"0.0,0.0,1.0",1.0,"1.0,0.0,0.0","0.4890164051337181,12000.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0","15.711081799590238,4.288918200409765","0.7855540899795117,0.2144459100204882"
17273,26-39,male,majority,2,0,poverty,0.12397754863064105,no,before 2015,yes,yes,10238,9000.0,sedan,1,0,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,"1.0,0.0,0.0",0.0,1.0,0.0,1.0,1.0,1.0,"0.0,0.0,1.0",1.0,"1.0,0.0,0.0","0.12397754863064105,9000.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0","12.747603783037745,7.252396216962255","0.6373801891518872,0.3626198108481128"
17297,16-25,female,majority,1,0,poverty,0.29085042569666675,yes,before 2015,yes,yes,10238,12000.0,sedan,0,0,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,"0.0,0.0,1.0",1.0,1.0,1.0,1.0,1.0,1.0,"0.0,0.0,1.0",1.0,"1.0,0.0,0.0","0.29085042569666675,12000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0","7.951781194517663,12.04821880548234","0.3975890597258831,0.6024109402741169"
18141,40-64,female,majority,3,1,working class,0.5158128096027909,yes,before 2015,yes,no,32765,10000.0,sports car,2,1,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,"0.0,1.0,0.0",1.0,1.0,1.0,0.0,0.0,1.0,"0.0,0.0,0.0",1.0,"0.0,1.0,0.0","0.5158128096027909,10000.0,2.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0","16.75880611687458,3.24119388312542","0.837940305843729,0.162059694156271"
18850,26-39,female,minority,2,1,poverty,0.17524024607881408,no,before 2015,yes,yes,10238,14000.0,sedan,1,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,"1.0,0.0,0.0",1.0,0.0,0.0,1.0,1.0,1.0,"0.0,0.0,1.0",1.0,"1.0,0.0,0.0","0.17524024607881408,14000.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0","12.807479455685476,7.1925205443145215","0.6403739727842739,0.3596260272157261"
19261,16-25,female,majority,1,1,working class,0.32421285704430564,yes,before 2015,no,no,10238,11000.0,sedan,0,0,0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,"0.0,0.0,1.0",1.0,1.0,1.0,0.0,1.0,0.0,"0.0,0.0,0.0",1.0,"1.0,0.0,0.0","0.32421285704430564,11000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0","6.91865784191679,13.081342158083212","0.3459328920958395,0.6540671079041606"
19948,26-39,female,minority,2,0,poverty,0.5158128096027909,yes,after 2015,no,no,10238,11000.0,sedan,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,"1.0,0.0,0.0",1.0,0.0,1.0,0.0,1.0,0.0,"0.0,0.0,1.0",0.0,"1.0,0.0,0.0","0.5158128096027909,11000.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0","16.334650868396032,3.665349131603966","0.8167325434198016,0.1832674565801983"
20174,40-64,female,majority,1,2,upper class,0.7573467203725435,yes,before 2015,yes,yes,32765,8000.0,sedan,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"0.0,1.0,0.0",1.0,1.0,1.0,1.0,1.0,1.0,"1.0,0.0,0.0",1.0,"0.0,1.0,0.0","0.7573467203725435,8000.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0","11.363192305293566,8.636807694706434","0.5681596152646783,0.4318403847353217"
20441,65+,male,majority,3,1,upper class,0.5158128096027909,yes,before 2015,yes,yes,32765,13000.0,sedan,7,3,0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"0.0,0.0,0.0",0.0,1.0,1.0,1.0,1.0,1.0,"1.0,0.0,0.0",1.0,"0.0,1.0,0.0","0.5158128096027909,13000.0,7.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0","17.034544501054402,2.9654554989456","0.8517272250527201,0.14827277494728"
20500,16-25,male,majority,1,1,working class,0.6370300180927041,no,after 2015,no,no,10238,13000.0,sedan,0,0,0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,"0.0,0.0,1.0",0.0,1.0,0.0,0.0,1.0,0.0,"0.0,0.0,0.0",0.0,"1.0,0.0,0.0","0.6370300180927041,13000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0","6.968991629561139,13.031008370438864","0.3484495814780569,0.6515504185219431"
